ID,Date,Long,Lat,Price
124,29/02/2008 00:00,0.033285,51.5266,200000
125,29/02/2008 00:00,-0.003173,51.5952,250000
126,23/05/2008 00:00,-0.004821,51.5061,285200
127,08/02/2008 00:00,0.102478,51.4403,390000
128,12/12/2008 00:00,-0.127518,51.612,305000
129,22/12/2008 00:00,-0.030261,51.6762,152500
130,07/04/2008 00:00,0.048791,51.5252,263000
131,08/09/2008 00:00,0.12874,51.569,183000
132,25/04/2008 00:00,-0.262415,51.4592,750000
133,03/10/2008 00:00,-0.208748,51.5401,302000
134,28/02/2008 00:00,-0.437897,51.5222,250000
135,19/09/2008 00:00,-0.384563,51.5042,200000
136,06/06/2008 00:00,-0.175713,51.3974,265000
137,18/07/2008 00:00,-0.167807,51.4319,367000
138,18/09/2008 00:00,-0.417866,51.6097,435000
139,02/06/2008 00:00,-7.55729,49.7667,404950
140,11/08/2008 00:00,-0.096122,51.519,494000
141,27/08/2008 00:00,-0.464782,51.5624,415000
142,30/05/2008 00:00,-0.257572,51.4903,870000
143,31/03/2008 00:00,0.082924,51.4575,225000
144,01/09/2008 00:00,-0.196132,51.5134,1336500
145,02/12/2008 00:00,-0.127524,51.4625,300000
146,01/09/2008 00:00,-0.14799,51.3623,175000
147,26/09/2008 00:00,-0.112458,51.5231,360000
148,14/04/2008 00:00,0.193938,51.5417,212000
149,20/03/2008 00:00,-7.55729,49.7667,254950
150,26/08/2008 00:00,-0.371213,51.4616,243000
151,11/11/2008 00:00,-0.135995,51.3415,2000000
152,28/11/2008 00:00,-0.275478,51.4044,208000
153,09/05/2008 00:00,0.027659,51.535,220000
154,25/01/2008 00:00,-0.403818,51.5193,249000
155,16/05/2008 00:00,-0.301311,51.3878,525000
156,28/11/2008 00:00,-0.008696,51.5626,285000
157,02/05/2008 00:00,-0.377415,51.4677,190000
158,10/11/2008 00:00,-0.174664,51.5802,1950000
159,25/04/2008 00:00,-0.094804,51.4555,602000
160,11/07/2008 00:00,-0.18844,51.4904,1075000
161,15/02/2008 00:00,-0.380564,51.489,275000
162,14/04/2008 00:00,0.14426,51.5602,182000
163,14/02/2008 00:00,-0.333854,51.5979,284000
164,18/04/2008 00:00,-0.120345,51.4789,275000
165,12/09/2008 00:00,-0.072097,51.4533,368000
166,04/01/2008 00:00,0.083372,51.4407,320000
167,20/10/2008 00:00,-0.124612,51.334,340000
168,16/12/2008 00:00,0.064634,51.5395,160000
169,08/02/2008 00:00,-0.317115,51.5226,215000
170,12/03/2008 00:00,0.133443,51.5738,269000
171,06/10/2008 00:00,-0.075436,51.5012,480000
172,11/01/2008 00:00,0.071645,51.5501,247000
173,29/02/2008 00:00,-0.17305,51.5942,360000
174,03/10/2008 00:00,-0.091043,51.5363,814000
175,19/03/2008 00:00,0.131491,51.5565,190000
176,26/03/2008 00:00,-0.103952,51.5564,890000
177,08/05/2008 00:00,-0.306187,51.5381,285000
178,28/03/2008 00:00,-0.215833,51.5082,317500
179,17/06/2008 00:00,-0.120291,51.5607,290000
180,18/04/2008 00:00,-0.199079,51.3988,175000
181,30/06/2008 00:00,-7.55729,49.7667,467500
182,29/02/2008 00:00,-0.019738,51.5891,230000
183,25/02/2008 00:00,-0.190294,51.4421,310000
184,11/01/2008 00:00,-0.108637,51.4357,347500
185,07/04/2008 00:00,-0.380816,51.4192,300000
186,23/05/2008 00:00,-0.32101,51.4558,250000
187,03/10/2008 00:00,-0.110555,51.3372,420000
188,23/01/2008 00:00,0.188799,51.577,158000
189,30/04/2008 00:00,0.094035,51.4637,184995
190,27/06/2008 00:00,-0.066929,51.5895,240000
191,01/09/2008 00:00,-0.214634,51.551,980000
192,12/02/2008 00:00,-0.081322,51.3971,140000
193,11/07/2008 00:00,-0.333453,51.5204,250000
194,28/07/2008 00:00,-0.129771,51.5652,1075000
195,25/04/2008 00:00,-0.411678,51.5138,249000
196,14/01/2008 00:00,-0.322731,51.425,295000
197,28/02/2008 00:00,-0.330272,51.5944,225000
198,31/07/2008 00:00,0.086425,51.4872,140000
199,08/05/2008 00:00,-0.164981,51.5157,540000
200,23/05/2008 00:00,-0.159351,51.4748,950000
201,13/10/2008 00:00,-7.55729,49.7667,265000
202,13/03/2008 00:00,-7.55729,49.7667,405000
203,22/02/2008 00:00,-0.033086,51.3962,342000
204,31/10/2008 00:00,-0.402676,51.5277,181500
205,11/04/2008 00:00,-0.202079,51.4381,675000
206,27/03/2008 00:00,0.087585,51.562,182152
207,03/04/2008 00:00,-0.03416,51.4827,127600
208,21/04/2008 00:00,0.129209,51.512,205000
209,29/05/2008 00:00,-7.55729,49.7667,365000
210,09/05/2008 00:00,0.115102,51.5098,182000
211,29/08/2008 00:00,0.103363,51.5391,235000
212,11/11/2008 00:00,-0.01426,51.624,290000
213,27/06/2008 00:00,-0.296376,51.5665,382500
214,07/01/2008 00:00,-0.005696,51.4584,165000
215,11/02/2008 00:00,-0.162747,51.3823,120000
216,08/09/2008 00:00,0.210135,51.6086,175000
217,04/01/2008 00:00,-0.051502,51.6308,221000
218,25/01/2008 00:00,-7.55729,49.7667,362950
219,14/03/2008 00:00,-0.261186,51.4699,2200000
220,09/12/2008 00:00,0.154201,51.4591,210000
221,08/02/2008 00:00,-0.017911,51.4043,290000
222,01/05/2008 00:00,-0.02014,51.5775,177500
223,20/05/2008 00:00,-0.213647,51.4849,550000
224,13/06/2008 00:00,-0.172655,51.4618,235000
225,28/03/2008 00:00,-0.14618,51.6159,222000
226,16/05/2008 00:00,-0.106913,51.5267,407500
227,22/08/2008 00:00,-0.168494,51.4414,910000
228,31/01/2008 00:00,0.132101,51.4211,265000
229,14/03/2008 00:00,0.054965,51.5534,250000
230,29/05/2008 00:00,-7.55729,49.7667,740000
231,14/03/2008 00:00,-0.215288,51.5355,435000
232,18/01/2008 00:00,0.126193,51.5122,175000
233,06/06/2008 00:00,0.000842,51.4423,190000
234,15/12/2008 00:00,0.060386,51.3626,195000
235,04/05/2008 00:00,0.142718,51.5477,195000
236,28/01/2008 00:00,-0.197411,51.6309,2500000
237,21/02/2008 00:00,-0.189958,51.5423,670000
238,15/08/2008 00:00,0.105977,51.4266,550000
239,26/06/2008 00:00,-0.076707,51.643,213500
240,19/12/2008 00:00,-7.55729,49.7667,152500
241,26/09/2008 00:00,-0.052103,51.4794,270000
242,28/03/2008 00:00,-0.084721,51.4151,375000
243,24/12/2008 00:00,-7.55729,49.7667,184900
244,18/04/2008 00:00,-0.197175,51.4132,635000
245,22/04/2008 00:00,-0.190322,51.4589,172500
246,22/02/2008 00:00,-0.188217,51.4924,800000
247,02/04/2008 00:00,-7.55729,49.7667,240000
248,02/05/2008 00:00,0.011078,51.5465,280000
249,30/05/2008 00:00,-0.113755,51.4644,200000
250,11/07/2008 00:00,0.091309,51.4592,250000
251,22/05/2008 00:00,-0.283352,51.6019,285000
252,01/09/2008 00:00,0.005596,51.5697,175000
253,30/05/2008 00:00,-0.05369,51.6162,220000
254,14/11/2008 00:00,-0.392946,51.5674,250000
255,20/03/2008 00:00,0.140795,51.484,283500
256,09/01/2008 00:00,-0.205327,51.4855,700000
257,22/02/2008 00:00,-0.371747,51.4158,235000
258,06/03/2008 00:00,-0.20298,51.3539,321000
259,01/07/2008 00:00,-0.054962,51.5344,240000
260,14/03/2008 00:00,-0.182888,51.6111,264400
261,30/05/2008 00:00,-0.269507,51.492,568000
262,19/12/2008 00:00,-0.118708,51.4315,278500
263,19/08/2008 00:00,-0.281496,51.4183,220000
264,29/08/2008 00:00,-0.075278,51.4571,222000
265,15/01/2008 00:00,-0.20499,51.4449,300000
266,09/05/2008 00:00,-0.23739,51.5807,155000
267,18/08/2008 00:00,-0.042176,51.5131,306750
268,31/01/2008 00:00,-0.045647,51.4589,435000
269,16/05/2008 00:00,0.169038,51.6052,145000
270,29/02/2008 00:00,-0.136925,51.5339,373000
